,sim_id,$\eta$,$\omega$,$D_r$
0,0,0.0,1.8760178138814254,1.7251040589376772
0,1,0.0,1.8469841051651126,1.684217031723665
0,2,0.0,1.8469841051651126,1.685991407106606
0,3,0.0,1.8469841051651126,1.6581150062262047
0,4,0.0,1.8469841051651126,1.6504305091670337
0,5,0.0,1.8290402863589672,1.707879441240754
0,6,0.0,1.8469841051651126,1.682792139382578
0,7,0.0,1.8469841051651126,1.6737371450642324
0,8,0.0,1.8469724925923998,1.6609290890508457
0,9,0.0,1.8290402863589672,1.6856357991266557
0,10,0.0,1.8290402863589672,1.7098700700249077
0,11,0.0,1.8290402863589672,1.6840015976104397
0,12,0.0,1.8469841051651126,1.667538227357783
0,13,0.0,1.8760178138814254,1.696674025665149
0,14,0.0,1.8469841051651126,1.6038406513698753
0,15,0.0,1.8469841051651126,1.6448730458070442
0,16,0.0,1.8469841051651126,1.6759112007901886
0,17,0.0,1.8469841051651126,1.6168451605882763
0,18,0.0,1.8760174666713199,1.6365196232800419
0,19,0.0,1.8290402863589672,1.6732846786151225
0,20,0.0,1.8290402863589672,1.6216365466420473
0,21,0.0,1.8469841051651126,1.6235834910608642
0,22,0.0,1.8290402863589672,1.6554647222679115
0,23,0.0,1.8290402863589672,1.7126711511220079
0,24,0.0,1.8469841051651126,1.608370737789936
0,25,0.0,1.9879053424950648,1.7522067701922353
0,26,0.0,1.8760178138814254,1.6341706314785711
0,27,0.0,1.8469841051651126,1.5975162737667696
0,28,0.0,1.8469841051651126,1.6790557293291415
0,29,0.0,1.922993532318695,1.5349877407879202
0,30,0.2,1.8469841051651126,1.644608972316669
0,31,0.2,1.8290402863589672,1.8654294153916409
0,32,0.2,1.8469724925923998,1.7240902032455436
0,33,0.2,1.8288370950539443,1.840589879815131
0,34,0.2,1.8290402863589672,1.6213415015977304
0,35,0.2,1.8290402863589672,1.8967595983798053
0,36,0.2,1.8469841051651126,1.6733226066933913
0,37,0.2,1.8469841051651126,1.6942383461844233
0,38,0.2,1.8469841051651126,1.8486905676756333
0,39,0.2,1.8469841051651126,1.7402294279502926
0,40,0.2,1.8290402863589672,1.6294398439069804
0,41,0.2,1.8760178138814254,1.6169901073073374
0,42,0.2,1.8469841051651126,1.752020889021618
0,43,0.2,1.8290402863589672,1.6992685391628124
0,44,0.2,1.8290402863589672,1.7294350941144374
0,45,0.2,1.8542395597006902,1.9239056839015172
0,46,0.2,1.9810609488900417,1.681177348664086
0,47,0.2,1.8290402863589672,1.7828284928005966
0,48,0.2,1.9151986924104365,1.8618387646769143
0,49,0.2,1.8469841051651126,1.8050282541579998
0,50,0.2,1.8469841051651126,1.7007975532101205
0,51,0.2,1.8760178138814254,1.6878255259238455
0,52,0.2,1.8290402863589672,1.7568810976006988
0,53,0.2,1.8469841051651126,1.703528136666705
0,54,0.2,1.8290402863589672,1.7623144900546863
0,55,0.2,1.8469841051651126,1.7634216121308335
0,56,0.2,1.8290402863589672,1.7529932304438076
0,57,0.2,1.8760178138814254,1.8394426009973712
0,58,0.2,1.8469841051651126,1.83210074768502
0,59,0.2,1.8760178138814254,1.9396622335025129
0,60,0.4,1.8469841051651126,1.541975077157427
0,61,0.4,1.922993532318695,1.7197391821483803
0,62,0.4,1.8290402863589672,1.6565939179717228
0,63,0.4,1.8290402863589672,1.501076094354525
0,64,0.4,1.9225764751088534,1.5214024073756751
0,65,0.4,1.8179503964487997,1.4743657499102325
0,66,0.4,1.92299430879047,1.6741248494020267
0,67,0.4,1.8290402863589672,1.603669321936096
0,68,0.4,1.9229935152028717,1.582300434878227
0,69,0.4,1.8290402863589672,1.707026079582161
0,70,0.4,1.8469841051651126,1.7345010466865993
0,71,0.4,1.8469841051651126,1.584815722716055
0,72,0.4,1.919555221670586,1.7704443715940212
0,73,0.4,1.8469841051651126,1.697528815064343
0,74,0.4,1.8469841051651126,1.8366008731400756
0,75,0.4,1.8469841051651126,1.5496588726719118
0,76,0.4,1.8290402863589672,1.623581255651168
0,77,0.4,1.8469841051651126,1.751286658524623
0,78,0.4,1.8469841051651126,1.5161213623989245
0,79,0.4,1.8469841051651126,1.5090879326415643
0,80,0.4,1.8469819325456844,1.598783289770808
0,81,0.4,1.9875329213236503,1.579934304417382
0,82,0.4,1.8469841051651126,1.6727620407033097
0,83,0.4,1.8469841051651126,1.6845017514217635
0,84,0.4,1.8469841051651126,1.62770053257293
0,85,0.4,1.8469841051651126,1.8818554930795417
0,86,0.4,1.8469841051651126,1.5911192327133226
0,87,0.4,1.9229953414038836,1.7803330609894987
0,88,0.4,1.8469841051651126,1.648515515626275
0,89,0.4,1.8469841051651126,1.6858053273229163
0,90,0.6000000000000001,1.8469841051651126,1.4101370309975778
0,91,0.6000000000000001,1.8469841051651126,1.5451600531964722
0,92,0.6000000000000001,1.8469841051651126,1.4121406452508187
0,93,0.6000000000000001,1.8469841051651126,1.6813043068680493
0,94,0.6000000000000001,1.8469841051651126,1.5250222025180444
0,95,0.6000000000000001,1.8760178138814254,1.7596216199569539
0,96,0.6000000000000001,1.9140221028812552,1.5722781131966144
0,97,0.6000000000000001,1.8290402863589672,1.5088725495872675
0,98,0.6000000000000001,1.9021305173351968,1.6536542219941333
0,99,0.6000000000000001,1.876016485325584,1.5153666067566463
0,100,0.6000000000000001,1.8290402863589672,1.5461270076256963
0,101,0.6000000000000001,1.8469841051651126,1.670511653620937
0,102,0.6000000000000001,1.8469841051651126,1.4944915068742493
0,103,0.6000000000000001,1.8794316230441057,1.4617945785175153
0,104,0.6000000000000001,1.8469841051651126,1.5787285992799591
0,105,0.6000000000000001,1.8469841051651126,1.6424418392474727
0,106,0.6000000000000001,1.9329924941967709,1.3922480154385088
0,107,0.6000000000000001,1.8290402863589672,1.6130081592339789
0,108,0.6000000000000001,1.9084826402148298,1.4677262082422917
0,109,0.6000000000000001,1.8760155256604685,1.5690362931002741
0,110,0.6000000000000001,1.8760178138814254,1.6052752582873357
0,111,0.6000000000000001,1.8469841051651126,1.714197233380536
0,112,0.6000000000000001,1.921433566686505,1.6778550368236769
0,113,0.6000000000000001,1.8469841051651126,1.6245557397315238
0,114,0.6000000000000001,1.8290402863589672,1.4944044849639566
0,115,0.6000000000000001,1.8290402863589672,1.4747923844923885
0,116,0.6000000000000001,1.8469724925923998,1.707213469767076
0,117,0.6000000000000001,1.8469841051651126,1.4792704877785285
0,118,0.6000000000000001,1.8290402863589672,1.9243200822805269
0,119,0.6000000000000001,1.9229932999821167,1.4569938677898238
0,120,0.8,1.8469841051651126,1.543849357062498
0,121,0.8,1.8469841051651126,1.7018358005081409
0,122,0.8,1.8469841051651126,1.4714973643832694
0,123,0.8,1.8469841051651126,1.4656772585872584
0,124,0.8,1.8469841051651126,1.4279594130618762
0,125,0.8,1.8469841051651126,1.3998881601498985
0,126,0.8,1.8760156744178498,1.5561571046605596
0,127,0.8,1.8290402863589672,1.4652276921603986
0,128,0.8,1.8469841051651126,1.5076403942501282
0,129,0.8,1.8469841051651126,1.5562089046274141
0,130,0.8,1.8290402863589672,1.5454987164990344
0,131,0.8,1.8290402863589672,1.3856401771245004
0,132,0.8,1.8748150576817788,1.706305797688603
0,133,0.8,1.8469841051651126,1.6443595068845296
0,134,0.8,1.8469841051651126,1.3543986054012975
0,135,0.8,1.8290402863589672,1.5540723647736239
0,136,0.8,1.8995132987749774,1.3186293139285763
0,137,0.8,1.8469841051651126,1.542364817922758
0,138,0.8,1.8290402863589672,1.5740814375417647
0,139,0.8,1.8469841051651126,1.4363765352181592
0,140,0.8,1.8290402863589672,1.3862764848201772
0,141,0.8,1.8469841051651126,1.4321399635143934
0,142,0.8,1.8469841051651126,1.7324210200235979
0,143,0.8,1.8469841051651126,1.437254929116726
0,144,0.8,1.8469841051651126,1.7028141162964658
0,145,0.8,1.8760178138814254,1.2538840273405014
0,146,0.8,1.8469841051651126,1.4162699208058591
0,147,0.8,1.9084771580084163,1.625333758367286
0,148,0.8,1.8760149527172187,1.6448005646839325
0,149,0.8,1.8469841051651126,1.4642950509453763
0,150,1.0,1.8290402863589672,1.3031882582313221
0,151,1.0,1.9378277829175494,1.3987051943291915
0,152,1.0,1.8469841051651126,1.5640449980074302
0,153,1.0,1.8290402863589672,1.4825064773959604
0,154,1.0,1.8469841051651126,1.3641913460491537
0,155,1.0,1.8469841051651126,1.405283679202152
0,156,1.0,1.8469841051651126,1.2673408845266352
0,157,1.0,1.8290402863589672,1.242939152299448
0,158,1.0,1.9205152194235657,1.3413313375517466
0,159,1.0,1.8469841051651126,1.4688284702108254
0,160,1.0,1.8469841051651126,1.5329293354950482
0,161,1.0,1.8469841051651126,1.4097018132777543
0,162,1.0,1.8290402863589672,1.4393728448943883
0,163,1.0,1.8469841051651126,1.4012467703347546
0,164,1.0,1.8760178138814254,1.6562741898795765
0,165,1.0,1.9221376581284135,1.2450818640596453
0,166,1.0,1.9177881738535882,1.3729919343859167
0,167,1.0,1.8469841051651126,1.4506156930087413
0,168,1.0,1.9140221028812552,1.2976512275041028
0,169,1.0,1.8760178138814254,1.287172537380914
0,170,1.0,1.8469841051651126,1.4223396639838033
0,171,1.0,1.8469841051651126,1.3763844495957818
0,172,1.0,1.876016485325584,1.7155184430212445
0,173,1.0,1.9059983650654093,1.3619395079695804
0,174,1.0,1.8469841051651126,1.2743051106188867
0,175,1.0,1.8469841051651126,1.3956393495918613
0,176,1.0,1.876016485325584,1.6206089256051182
0,177,1.0,1.8469841051651126,1.6873224068189216
0,178,1.0,1.8469841051651126,1.389332698159583
0,179,1.0,1.9212788855420344,1.4284238731101837
0,180,1.2000000000000002,1.8760178138814254,1.5126514932139572
0,181,1.2000000000000002,1.8760174666713199,1.4270957687587593
0,182,1.2000000000000002,1.8469841051651126,1.271388801791505
0,183,1.2000000000000002,1.8469841051651126,1.3216320392963015
0,184,1.2000000000000002,1.8290402863589672,1.3395398608819185
0,185,1.2000000000000002,1.8469841051651126,1.2691777429716768
0,186,1.2000000000000002,1.876016485325584,1.3342062186092258
0,187,1.2000000000000002,1.8469841051651126,1.483185790691087
