,sim_id,$p_s$,$D_r$
0,0,0.05,1.738306435131068
0,1,0.05,1.4547606050658513
0,2,0.05,1.371633054964708
0,3,0.05,1.4161347409884293
0,4,0.05,1.4917541406780177
0,5,0.05,1.479751648055424
0,6,0.05,1.4217335456767215
0,7,0.05,1.5339554782433664
0,8,0.05,1.5920551419223181
0,9,0.05,1.672512086425865
0,10,0.05,1.4803333871047748
0,11,0.05,1.5196797241518318
0,12,0.05,1.4316613187352916
0,13,0.05,1.4751570034900463
0,14,0.05,1.3763582367394218
0,15,0.05,1.5599484446886727
0,16,0.05,1.2433795329636155
0,17,0.05,1.325777932420599
0,18,0.05,1.5589395485316067
0,19,0.05,1.4090688946396297
0,20,0.05,1.378332338236207
0,21,0.05,1.287571647838402
0,22,0.05,1.1919487324283529
0,23,0.05,1.3392618037836588
0,24,0.05,1.3771771270710376
0,25,0.05,1.4685017060241399
0,26,0.05,1.5196062374308026
0,27,0.05,1.5884763150503323
0,28,0.05,1.3330276668269467
0,29,0.05,1.4392210626110462
0,30,0.14500000000000002,1.4940512573789015
0,31,0.14500000000000002,1.7181027931323722
0,32,0.14500000000000002,1.5337770441990943
0,33,0.14500000000000002,1.3784127645386905
0,34,0.14500000000000002,1.7208754581838352
0,35,0.14500000000000002,1.3335356913333902
0,36,0.14500000000000002,1.4527140960963192
0,37,0.14500000000000002,1.333569288475195
0,38,0.14500000000000002,1.4007043076187653
0,39,0.14500000000000002,1.5000363632992444
0,40,0.14500000000000002,1.2339009639570329
0,41,0.14500000000000002,1.4719636005059975
0,42,0.14500000000000002,1.5241008230889541
0,43,0.14500000000000002,1.5589159669151182
0,44,0.14500000000000002,1.4501921357575267
0,45,0.14500000000000002,1.5260258567507439
0,46,0.14500000000000002,1.373187584118363
0,47,0.14500000000000002,1.7873017451563593
0,48,0.14500000000000002,1.265945662584995
0,49,0.14500000000000002,1.3633525368247406
0,50,0.14500000000000002,1.4675403193763041
0,51,0.14500000000000002,1.4530956317245398
0,52,0.14500000000000002,1.5262245513408135
0,53,0.14500000000000002,1.3819270667839314
0,54,0.14500000000000002,1.3945132569099767
0,55,0.14500000000000002,1.4964074467093786
0,56,0.14500000000000002,1.463743398094112
0,57,0.14500000000000002,1.2202882651560585
0,58,0.14500000000000002,1.4328523295614655
0,59,0.14500000000000002,1.4560842057619938
0,60,0.24,1.3223640640652405
0,61,0.24,1.3808912121016206
0,62,0.24,1.3482544127109397
0,63,0.24,1.3742452901461542
0,64,0.24,1.449643587817343
0,65,0.24,1.3117931337027875
0,66,0.24,1.4319430293048327
0,67,0.24,1.450029743866683
0,68,0.24,1.3009104655595498
0,69,0.24,1.3493372289733356
0,70,0.24,1.295084561365657
0,71,0.24,1.2153312919238435
0,72,0.24,1.329282971958354
0,73,0.24,1.504514201103277
0,74,0.24,1.4403928546130886
0,75,0.24,1.27439227325788
0,76,0.24,1.6954171684109371
0,77,0.24,1.2394313915288468
0,78,0.24,1.2518045498313144
0,79,0.24,1.4174110130647126
0,80,0.24,1.2296371046067733
0,81,0.24,1.4425968618209015
0,82,0.24,1.2466111144869143
0,83,0.24,1.3213731860241673
0,84,0.24,1.3960850600104124
0,85,0.24,1.4449343613160457
0,86,0.24,1.1308923724691795
0,87,0.24,1.59663542661717
0,88,0.24,1.3112492938052238
0,89,0.24,1.2570859707967188
0,90,0.335,1.5717669980384126
0,91,0.335,1.2619548903705153
0,92,0.335,1.4165939078193404
0,93,0.335,1.3515840554533247
0,94,0.335,1.5047778907875093
0,95,0.335,1.2223517458011675
0,96,0.335,1.4190238309536143
0,97,0.335,1.4139950645500237
0,98,0.335,1.2388754343112638
0,99,0.335,1.5007424994189695
0,100,0.335,1.3373125846929839
0,101,0.335,1.2147764942296149
0,102,0.335,1.3670816575528477
0,103,0.335,1.4384502077513215
0,104,0.335,1.2881066930602532
0,105,0.335,1.3959940291619057
0,106,0.335,1.3112741138707023
0,107,0.335,1.3467636275091506
0,108,0.335,1.2972308456258974
0,109,0.335,1.1701097686531592
0,110,0.335,1.2570026997514263
0,111,0.335,1.2595572887326467
0,112,0.335,1.3213999898481041
0,113,0.335,1.4802650558947335
0,114,0.335,1.4253073329740302
0,115,0.335,1.3656042335184129
0,116,0.335,1.3020544846393236
0,117,0.335,1.477672475820621
0,118,0.335,1.4159163602230345
0,119,0.335,1.1838585439902782
0,120,0.43,1.501760751189782
0,121,0.43,1.5355376221992145
0,122,0.43,1.4128825860608416
0,123,0.43,1.2579393637869896
0,124,0.43,1.3428087713531318
0,125,0.43,1.0697368655643997
0,126,0.43,1.2091742837538197
0,127,0.43,1.2027574496933813
0,128,0.43,1.2210944026289758
0,129,0.43,1.4384001311487316
0,130,0.43,1.3292854844033044
0,131,0.43,1.2441331626313645
